recovery,day,prop_infected
9,53,0.17890646535736748
9,54,0.16742454828092315
9,55,0.15625799001138058
9,56,0.14548777991705023
9,57,0.13517234917537937
9,58,0.12535120105488512
9,59,0.11604824637610582
9,60,0.10727477533129529
9,61,0.09903204413411346
9,62,0.0913134849664806
9,63,0.08410656522157611
9,64,0.07739433099393014
9,65,0.07115667307644008
9,66,0.06537135351028012
9,67,0.060014828470117014
9,68,0.05506289994111759
9,69,0.05049122489322598
9,70,0.04627570687530555
9,71,0.04239279136489793
9,72,0.038819682937734454
9,73,0.03553449941466837
9,74,0.03251637560991769
9,75,0.029745527126455805
9,76,0.027203282792203142
9,77,0.024872092768939015
9,78,0.0227355180580445
9,79,0.020778206038252423
9,80,0.018985855768297106
9,81,0.017345176042933973
9,82,0.01584383857901594
9,83,0.014470428207389356
9,84,0.013214391537698903
9,85,0.01206598523099995
9,86,0.011016224746091369
9,87,0.010056834208578868
9,88,0.009180197877578398
9,89,0.008379313545954508
9,90,0.007647748099660947
9,91,0.006979595374817553
9,92,0.0063694363832500316
9,93,0.005812301924738557
9,94,0.005303637564208107
9,95,0.004839270922119207
9,96,0.004415381204392159
9,97,0.004028470882693608
9,98,0.003675339425503186
9,99,0.003353058973978361
10,0,0.0005
10,1,0.00074985
10,2,0.0010344871259865
10,3,0.001362289476855945
10,4,0.0017431238139148455
10,5,0.0021886419794217233
10,6,0.00271262797101908
10,7,0.0033314028917032544
10,8,0.004064295136406144
10,9,0.004934182824851575
10,10,0.005968114348567136
10,11,0.007198010544800721
10,12,0.0086614478534763
10,13,0.010402515057015317
10,14,0.012472725793927511
10,15,0.014931953635644217
10,16,0.017849334498495222
10,17,0.021304050700784692
10,18,0.025385870256315838
10,19,0.030195262684205058
10,20,0.03584284868333047
10,21,0.042447868112661116
10,22,0.05013527617568412
10,23,0.05903101624727519
10,24,0.06925499450549485
10,25,0.08091133423520265
10,26,0.09407566640962411
10,27,0.10877957369804403
10,28,0.1249928919814478
10,29,0.14260538970269904
10,30,0.1614103099379539
10,31,0.18109316694448782
10,32,0.20122969564886373
10,33,0.2212965380162696
10,34,0.24069677058818717
10,35,0.2587996976263113
10,36,0.27499093011501324
10,37,0.28872563459706396
10,38,0.2995761644063958
10,39,0.3072659228794104
10,40,0.31168424055920657
10,41,0.3128813153292138
10,42,0.3110463950699278
10,43,0.30647510427145147
10,44,0.2995325860390232
10,45,0.2906182088082882
10,46,0.2801357134911036
10,47,0.26847063960519635
10,48,0.2559752091592461
10,49,0.24295978239326782
10,50,0.22968950108176667
10,51,0.21638465217955005
10,52,0.20322344513210255
10,53,0.19034616120611325
10,54,0.17785991236196635
10,55,0.16584349294465173
10,56,0.15435200198776677
10,57,0.14342105655306964
10,58,0.13307051464672584
10,59,0.1233076897062927
10,60,0.11413007686315348
10,61,0.1055276319766205
10,62,0.09748465378054091
10,63,0.08998132168339586
10,64,0.08299493978079392
10,65,0.0765009334348995
10,66,0.07047363959519196
10,67,0.06488692663655825
10,68,0.05971467430734226
10,69,0.05493113963646727
10,70,0.05051123044054257
10,71,0.04643070441733528
10,72,0.04266630868632077
10,73,0.039195871993536614
10,74,0.035998359581109675
10,75,0.03305389887480677
10,76,0.03034378261191533
10,77,0.027850454767828395
10,78,0.025557483599809715
10,79,0.023449525273303837
10,80,0.02151228083807165
10,81,0.019732448751560702
10,82,0.018097674682790766
10,83,0.01659649995292109
10,84,0.015218309663023627
10,85,0.01395328131255526
10,86,0.012792334512986822
10,87,0.01172708224126111
10,88,0.010749783950019987
10,89,0.00985330074994775
10,90,0.009031052799268078
10,91,0.008276978972420445
10,92,0.0075854988309620374
10,93,0.0069514768821163165
10,94,0.006370189081927979
10,95,0.005837291518893297
10,96,0.0053487911987495276
10,97,0.004901018840630868
10,98,0.0044906035880558325
10,99,0.004114449534407828
11,0,0.0005
11,1,0.0007543954545454546
11,2,0.0010481612668914587
11,3,0.0013906844985216594
11,4,0.0017931612699468955
11,5,0.0022689662599036835
11,6,0.0028340898197633854
11,7,0.003507652992634093
11,8,0.004312511130408725
11,9,0.0052759565465873605
11,10,0.006430529290818047
11,11,0.00781494204822932
11,12,0.009475119453764709
11,13,0.011465342527579534
11,14,0.013849473819038454
11,15,0.0167022160488048
11,16,0.0201103239342516
11,17,0.024173642500873282
11,18,0.02900578259966652
11,19,0.034734163539260704
11,20,0.0414990541154085
11,21,0.04945113228354632
11,22,0.058746974443068714
11,23,0.0695418056265207
