day,lambda,value,group
73,2.2,0.00022966032519520222,misinformed
74,2.2,0.000196884383451001,misinformed
75,2.2,0.0001688223826541912,misinformed
76,2.2,0.00014478966134543698,misinformed
77,2.2,0.00012420218975707454,misinformed
78,2.2,0.00010656157786489531,misinformed
79,2.2,9.14423480211647e-05,misinformed
80,2.2,7.848112608034397e-05,misinformed
81,2.2,6.736745809819934e-05,misinformed
82,2.2,5.783600475539716e-05,misinformed
83,2.2,4.965990381752196e-05,misinformed
84,2.2,4.2645123226166524e-05,misinformed
85,2.2,3.6625654709174606e-05,misinformed
86,2.2,3.1459420864285925e-05,misinformed
87,2.2,2.7024788159942456e-05,misinformed
